full_label_raw,base_label,base_label_en,modifiers_ko,modifiers_en,axis
인간 DNA,인간 DNA,human DNA,,,Materiality
아카이 브용 종이,아카이브용 종이,Archival paper,,,Materiality
유리병,유리병,glass bottle,,,Materiality
예술가 자신의 세포(생검),예술가 자신의 세포,The artist's own cells,생검,biopsy,Materiality
세포 배양액,세포 배양액,cell culture medium,,,Materiality
배양된 근육 조직,배양된 근육 조직,cultured muscle tissue,,,Materiality
비-인간 신경세포,비-인간 신경세포,non-human neurons,,,Materiality
페트리 디쉬,페트리 디쉬,petri dish,,,Materiality
로보틱스,로보틱스,Robotics,,,Materiality
빛,빛,light,,,Materiality
소리,소리,sound,,,Materiality
공기중향기분자,공기중향기분자,Airborne fragrance molecules,,,Materiality
비가 시적 화학 혼합물(작품철학),비가시적 화학 혼합물,invisible chemical mixture,작품철학,Philosophy of the work,Materiality
상업용 제품(블리스텍스),상업용 제품,commercial products,블리스텍스,Blistex,Materiality
"공업용화학물질(실리콘,RAL 색소)",공업용 화학물질,industrial chemicals,"실리콘, RAL 색소","Silicone, RAL pigment",Materiality
PET 플라스틱병,PET 플라스틱병,PET plastic bottles,,,Materiality
전자 폐기물,전자 폐기물,electronic waste,,,Materiality
오염된물,오염된물,polluted water,,,Materiality
광섬유,광섬유,optical fiber,,,Materiality
이끼,이끼,moss,,,Materiality
단백질,단백질,protein,,,Materiality
균류,균류,fungi,,,Materiality
복합 조직체,복합 조직체,Composite organism,,,Materiality
직물,직물,textile,,,Materiality
조직배양(줄기세포),조직배양,Tissue culture,줄기세포,stem cells,Materiality
합성 생명체(설계된 유기체),합성 생명체,synthetic life forms,설계된 유기체,designed organisms,Materiality
조직배양(세포주),조직배양,Tissue culture,세포주,cell lines,Materiality
유전자 편집,유전자 편집,gene editing,,,Methodology
생물정보학,생물정보학,bioinformatics,,,Methodology
바이오 센싱,바이오 센싱,biosensing,,,Methodology
데이터 시각화,데이터 시각화,Data visualization,,,Methodology
원격현존,원격현존,Telepresence,,,Methodology
현미경 관찰,현미경 관찰,Microscopic observation,,,Methodology
생태학적 조립,생태학적 조립,ecological assembly,,,Methodology
인공선택,인공선택,artificial selection,,,Methodology
로보틱스,로보틱스,Robotics,,,Methodology
외과적 변형(비침습적 부착),외과적 변형,surgical modification,비침습적 부착,Non-invasive attachment,Methodology
외과적 변형(침습적 삽입),외과적 변형,surgical modification,침습적 삽입,Invasive insertion,Methodology
조직공학,조직공학,tissue engineering,,,Methodology
세포배양,세포배양,cell culture,,,Methodology
외과적 변형(침습적 이식),외과적 변형,surgical modification,침습적 이식,invasive transplantation,Methodology
바이오 해킹,바이오 해킹,biohacking,,,Methodology
바디 아트 퍼포먼스,바디 아트 퍼포먼스,Body art performance,,,Methodology
형질전환,형질전환,Transformation,,,Methodology
유전자 편집(형질전환),유전자 편집,gene editing,형질전환,Transformation,Methodology
무균기술,무균기술,Aseptic technology,,,Methodology
미트리다티즘,미트리다티즘,Mithridatism,,,Methodology
신체변형,신체변형,body modification,,,Methodology
종간 퍼포먼스,종간 퍼포먼스,Interspecies performance,,,Methodology
기계공학,기계공학,mechanical engineering,,,Methodology
화학공학,화학공학,chemical engineering,,,Methodology
자기 조직화,자기 조직화,self-organization,,,Methodology
무중력 시뮬레이션,무중력 시뮬레이션,Zero gravity simulation,,,Methodology
사변적 디자인,사변적 디자인,Speculative design,,,Methodology
레이저 프로젝션,레이저 프로젝션,laser projection,,,Methodology
환경 데이터 분석,환경 데이터 분석,Environmental data analysis,,,Methodology
바디아트(문신),바디아트,body art,문신,tattoo,Methodology
미생물학,미생물학,microbiology,,,Methodology
AI 설계,AI 설계,AI design,,,Methodology
머신러닝,머신러닝,machine learning,,,Methodology
화학적 변환,화학적 변환,chemical transformation,,,Methodology
CRISPR-Cas9,CRISPR-Cas9,CRISPR-Cas9,,,Methodology
세포분화유도,세포 분화 유도,Induction of cell differentiation,,,Methodology
조각,조각,Sculpture,,,Methodology
요리,요리,cooking,,,Methodology
독립출판,독립출판,Independent publishing,,,Methodology
3D 프린팅,3D 프린팅,3D printing,,,Methodology
미세수술,미세수술,microsurgery,,,Methodology
전기영동,전기영동,electrophoresis,,,Methodology
유전자 편집(예측),유전자 편집,gene editing,예측,prediction,Methodology
바이오 컴퓨팅,바이오 컴퓨팅,biocomputing,,,Methodology
AI 설계(유전 알고리즘),AI 설계,AI design,유전 알고리즘,genetic algorithm,Methodology
생화학적 재현,생화학적 재현,Biochemical reproducibility,,,Methodology
공공 워크숍,공공 워크숍,public workshops,,,Methodology
생태학적 조립(퇴비화),생태학적 조립,ecological assembly,퇴비화,composting,Methodology
크로마토그래피,크로마토그래피,chromatography,,,Methodology
증류,증류,distillation,,,Methodology
발효,발효,fermentation,,,Methodology
기계적 조립,기계적 조립,mechanical assembly,,,Methodology
퍼포먼스,퍼포먼스,performance,,,Methodology
텍스타일 염색,텍스타일 염색,Textile dyeing,,,Methodology
유리공예,유리공예,glass crafts,,,Methodology
화학적 합성,화학적 합성,chemical synthesis,,,Methodology
CT 스캔,CT 스캔,CT scan,,,Methodology
후각 데이터 분석,후각 데이터 분석,Olfactory data analysis,,,Methodology
합성화학,합성화학,synthetic chemistry,,,Methodology
식물유전공학,식물유전공학,plant genetic engineering,,,Methodology
DNA 추출및전체유전체증폭,DNA 추출 및 전체 유전체 증폭,DNA extraction and whole genome amplification,,,Methodology
샷건시퀀싱,샷건 시퀀싱,Shotgun Sequencing,,,Methodology
데이터시각화,데이터 시각화,Data visualization,,,Methodology
생체조직검사,생체조직검사,biopsy,,,Methodology
신경세포 배양,신경세포 배양,Neuron culture,,,Methodology
광유전학적자극,광유전학적 자극,optogenetic stimulation,,,Methodology
데이터소리화,데이터 소리화,Sonification,,,Methodology
후각예술,후각예술,Olfactory art,,,Methodology
정동적경험의 창조,정동적 경험의 창조,Creating affective experiences,,,Methodology
비-객체기반예술,비-객체 기반 예술,Non-object-based art,,,Methodology
후각합성,후각합성,Olfactory synthesis,,,Methodology
RAL 표준색상시스템을이용한색재현,RAL 표준 색상 시스템을 이용한 색 재현,Color reproduction using the RAL standard color system,,,Methodology
대규모 액체 설치,대규모 액체 설치,Large-scale liquid installations,,,Methodology
로봇제어시스템,로봇 제어 시스템,Robot control system,,,Methodology
종간의 만남 연출,종간의 만남 연출,Interspecies encounter production,,,Methodology
후각확산,후각확산,Olfactory diffusion,,,Methodology
미생물 연료 전지,미생물 연료전지,microbial fuel cells,,,Methodology
공생시스템구축,공생 시스템 구축,Building a symbiotic system,,,Methodology
순환 수계 로보틱스,순환 수계 로보틱스,Circulating Water Robotics,,,Methodology
에너지 하베스팅,에너지 하베스팅,Energy harvesting,,,Methodology
생태학적조립,생태학적 조립,ecological assembly,,,Methodology
자연 프로세스 제어,자연 프로세스 제어,Controlling natural processes,,,Methodology
수동적 수집,수동적 수집,passive collection,,,Methodology
분류,분류,classification,,,Methodology
아카이빙,아카이빙,Archiving,,,Methodology
생물-지질학적 변환,생물-지질학적 변환,bio-geological transformation,,,Methodology
추출,추출,extraction,,,Methodology
연금술적 과정,연금술적 과정,alchemical process,,,Methodology
식물채광,식물채광,Phytomining,,,Methodology
제련,제련,smelting,,,Methodology
전통공예융합,전통 공예 융합,Fusion of traditional crafts,,,Methodology
전통공예,전통공예,traditional crafts,,,Methodology
생태학적 시뮬레이션,생태학적 시뮬레이션,ecological simulation,,,Methodology
3D 바이오 프린팅,3D 바이오 프린팅,3D bioprinting,,,Methodology
예술가 주도,예술가 주도,Artist-led,,,Actor Relationships & Configuration
자율적 생물 과정,자율적 생물 과정,Autonomous biological processes,,,Actor Relationships & Configuration
인간 중심적 창작,인간 중심적 창작,human-centered creation,,,Actor Relationships & Configuration
종간공동창작,종간 공동 창작,Interspecies co-creation,,,Actor Relationships & Configuration
인간-비인간 협업,인간-비인간 협업,human-nonhuman collaboration,,,Actor Relationships & Configuration
인간-기계협업,인간-기계 협업,human-machine collaboration,,,Actor Relationships & Configuration
의도와 통제,의도와 통제,Intention and Control,,,Actor Relationships & Configuration
관객의 개입(미래),관객의 개입,Audience intervention,미래,future,Actor Relationships & Configuration
예술가-유기체 공동 행위,예술가-유기체 공동 행위,Artist-organism joint action,,,Actor Relationships & Configuration
예술가 신체의 극한적 경험,예술가 신체의 극한적 경험,Extreme experiences of the artist's body,,,Actor Relationships & Configuration
관객의 개입,관객의 개입,Audience intervention,,,Actor Relationships & Configuration
"다중 행위자 네트워크(과학자,기관)",다중 행위자 네트워크,multi-actor network,"과학자, 기관","scientists, institutions",Actor Relationships & Configuration
창발,창발,Creation,,,Actor Relationships & Configuration
예술가 주도(환경설계),예술가 주도,Artist-led,환경설계,environmental design,Actor Relationships & Configuration
알고리즘 생성,알고리즘 생성,Algorithm creation,,,Actor Relationships & Configuration
예술가-유전자-식물 하이브리드,예술가-유전자-식물 하이브리드,Artist-Gene-Plant Hybrid,,,Actor Relationships & Configuration
예술가-세포-관객의 공모,예술가-세포-관객의 공모,Artist-Cell-Audience Conspiracy,,,Actor Relationships & Configuration
예술가-자본-동물의 관계망,예술가-자본-동물의 관계망,"The network of artists, capitalists, and animals",,,Actor Relationships & Configuration
다중 행위자 네트워크,다중 행위자 네트워크,multi-actor network,,,Actor Relationships & Configuration
AI 공동창작,AI 공동창작,AI co-creation,,,Actor Relationships & Configuration
예술가 주도(신체개입),예술가 주도,Artist-led,신체개입,physical intervention,Actor Relationships & Configuration
커뮤니티 협업,커뮤니티 협업,Community Collaboration,,,Actor Relationships & Configuration
알고리즘-DNA 상호작용,알고리즘-DNA 상호작용,Algorithm-DNA Interaction,,,Actor Relationships & Configuration
인간-비인간 협업(과거의 생명),인간-비인간 협업,human-nonhuman collaboration,과거의 생명,Past life,Actor Relationships & Configuration
분산된 지능,분산된 지능,distributed intelligence,,,Actor Relationships & Configuration
자율적 생물 과정(암시),자율적 생물 과정,Autonomous biological processes,암시,suggestion,Actor Relationships & Configuration
기계 행위자,기계 행위자,machine actors,,,Actor Relationships & Configuration
예술가(기억의 큐레이터),예술가,artist,기억의 큐레이터,Curator of Memory,Actor Relationships & Configuration
사랑하는이(향기의원천),사랑하는 이,Loved one,향기의 원천,Source of fragrance,Actor Relationships & Configuration
식물(살아있는 아카 이브),식물,plant,살아있는 아카이브,Living Archive,Actor Relationships & Configuration
커플(유전적주체공유),커플,couple,유전적 주체 공유,Genetic subject sharing,Actor Relationships & Configuration
기술(매개및기록자),기술,technology,매개 및 기록자,Mediator and recorder,Actor Relationships & Configuration
잠재적후손(사변적주체),잠재적 후손,potential descendants,사변적 주체,speculative subject,Actor Relationships & Configuration
예술가(재료이자창조자),예술가,artist,재료이자 창조자,Material and Creator,Actor Relationships & Configuration
배양세포(생물학적물질),배양세포,cultured cells,생물학적 물질,biological material,Actor Relationships & Configuration
관객(해석의 주체),관객,Audience,해석의 주체,Subject of interpretation,Actor Relationships & Configuration
신경세포(반응/학습),신경세포,nerve cells,"반응, 학습","Reaction, learning",Actor Relationships & Configuration
로봇시스템(자극/번역),로봇시스템,Robot system,"자극, 번역","Stimulation, translation",Actor Relationships & Configuration
관객(상호작용),관객,Audience,상호작용,Interaction,Actor Relationships & Configuration
예술가(경험의 설계자),예술가,artist,경험의 설계자,Designer of Experiences,Actor Relationships & Configuration
관객(신체적/기억적 반응의 주체),관객,Audience,"신체적, 기억적 반응의 주체",Subject of physical and memory reactions,Actor Relationships & Configuration
의도와통제,의도와 통제,Intention and Control,,,Actor Relationships & Configuration
다중 행위자 네트 워크,다중 행위자 네트워크,multi-actor network,,,Actor Relationships & Configuration
예측불가능성,예측불가능성,unpredictability,,,Actor Relationships & Configuration
자율적생물과정,자율적 생물 과정,Autonomous biological processes,,,Actor Relationships & Configuration
프로세스 주도,프로세스 주도,Process-driven,,,Actor Relationships & Configuration
비인간 주도,비인간 주도,non-human led,,,Actor Relationships & Configuration
자연-문화공동주도,자연-문화 공동 주도,Nature-Culture Joint Leadership,,,Actor Relationships & Configuration
참여자(기증자)협력,참여자 협력,Participant cooperation,기증자,donor,Actor Relationships & Configuration
생태계 공동 주도,생태계 공동 주도,Joint leadership in the ecosystem,,,Actor Relationships & Configuration
예술가-박테리아-역사의 결합,예술가-박테리아-역사의 결합,"A nexus of artist, bacteria, and history",,,Actor Relationships & Configuration
예술가-세포-기술의 융합,예술가-세포-기술의 융합,"The fusion of artist, cell, and technology",,,Actor Relationships & Configuration
비인간 행위자,비인간 행위자,nonhuman agents,,,Actor Relationships & Configuration
예술가-데이터 매개,예술가-데이터 매개,Artist-Data Mediator,,,Actor Relationships & Configuration
알고리즘적 생성,알고리즘적 생성,Algorithmic generation,,,Actor Relationships & Configuration
예술가 주도 설계,예술가 주도 설계,Artist-led design,,,Actor Relationships & Configuration
가상적 행위자,가상적 행위자,virtual actors,,,Actor Relationships & Configuration
예술가-신체-기술 하이브리드,예술가-신체-기술 하이브리드,Artist-Body-Technology Hybrid,,,Actor Relationships & Configuration
도구적,도구적,instrumental,,,Ethical Approach
성찰적,성찰적,reflective,,,Ethical Approach
도발적,도발적,provocative,,,Ethical Approach
관계적 윤리,관계적 윤리,relational ethics,,,Ethical Approach
공생적,공생적,Symbiotic,,,Ethical Approach
돌봄기반,돌봄 기반,Care-based,,,Ethical Approach
호혜성,호혜성,reciprocity,,,Ethical Approach
성찰성,성찰성,Reflectivity,,,Ethical Approach
신경윤리,신경윤리,Neuroethics,,,Ethical Approach
포스트휴먼 윤리,포스트휴먼 윤리,Posthuman ethics,,,Ethical Approach
기능적 창조,기능적 창조,Functional Creation,,,Ethical Approach
자기-실험,자기-실험,self-experimentation,,,Ethical Approach
존재론적 권리,존재론적 권리,ontological rights,,,Ethical Approach
책임있는연구혁신,책임있는연구혁신,Responsible Research and Innovation,,,Ethical Approach
취약성,취약성,Vulnerability,,,Ethical Approach
상호의존,상호의존,interdependence,,,Ethical Approach
객체화,객체화,objectification,,,Ethical Approach
시적창조,시적 창조,poetic creation,,,Ethical Approach
도발적 질문,도발적 질문,provocative questions,,,Ethical Approach
체계적 착취,체계적 착취,systematic exploitation,,,Ethical Approach
초월적,초월적,transcendent,,,Ethical Approach
도발과 논쟁,도발과 논쟁,Provocation and controversy,,,Ethical Approach
위험평가,위험평가,Risk assessment,,,Ethical Approach
권력관계폭로,권력 관계 폭로,Exposing power relations,,,Ethical Approach
비판적 재현,비판적 재현,Critical Representation,,,Ethical Approach
동물권,동물권,animal rights,,,Ethical Approach
생태 중심주의,생태 중심주의,ecocentrism,,,Ethical Approach
감정의영구보존과자연적소멸의대립,감정의 영구 보존과 자연적 소멸의 대립,The opposition between the permanent preservation of emotions and their natural extinction,,,Ethical Approach
살아있는 기념물 창조의 윤리,살아있는 기념물 창조의 윤리,The Ethics of Creating Living Monuments,,,Ethical Approach
유전정보의프라이버시,유전 정보의 프라이버시,Privacy of genetic information,,,Ethical Approach
사변적생식기술,사변적 생식 기술,Speculative reproductive technology,,,Ethical Approach
친밀함의 데이 터화,친밀함의 데이터화,Datafication of Intimacy,,,Ethical Approach
자기-식인주의의경계,자기-식인주의의 경계,The Boundary of Auto-Cannibalism,,,Ethical Approach
음식과자아의구분,음식과 자아의 구분,The distinction between food and self,,,Ethical Approach
합성식품의의미,합성 식품의 의미,The meaning of synthetic foods,,,Ethical Approach
기초적 형태의 의식을만들고조작하는행위,기초적 형태의 의식을 만들고 조작하는 행위,The act of creating and manipulating rudimentary forms of consciousness,,,Ethical Approach
생명의 도구화,생명의 도구화,Instrumentalization of life,,,Ethical Approach
향기의비자발적침투성,향기의 비자발적 침투성,Involuntary penetration of scent,,,Ethical Approach
감정적,감정적,emotional,,,Ethical Approach
생리적반응의유도,생리적 반응의 유도,Induction of physiological responses,,,Ethical Approach
신체기증,신체기증,Body donation,,,Ethical Approach
생명 물질의 도구화,생명 물질의 도구화,Instrumentalization of living matter,,,Ethical Approach
신성모독,신성모독,blasphemy,,,Ethical Approach
환경 정화의 주체,환경 정화의 주체,Subject of environmental purification,,,Ethical Approach
오염의 미학화,오염의 미학화,Aestheticization of pollution,,,Ethical Approach
위험의 가시화,위험의 가시화,Visualization of risks,,,Ethical Approach
개념적 전복,개념적 전복,Conceptual subversion,,,Ethical Approach
후각적,후각적,Olfactory,,,Ethical Approach
공감각적,공감각적,synesthetic,,,Ethical Approach
과정기반,과정기반,Process-based,,,Ethical Approach
개념적,개념적,Conceptual,,,Ethical Approach
법의학적,법의학적,Forensic,,,Ethical Approach
불안감 유발,불안감 유발,Causes anxiety,,,Ethical Approach
사변적,사변적,Speculative,,,Ethical Approach
비판적,비판적,Critical,,,Ethical Approach
서사적,서사적,epic,,,Ethical Approach
명상적,명상적,meditative,,,Ethical Approach
경이감,경이감,A sense of wonder,,,Ethical Approach
개념적,개념적,Conceptual,,,Aesthetic Strategy
데이터 미학,데이터 미학,Data aesthetics,,,Aesthetic Strategy
퍼포먼스적,퍼포먼스적,performative,,,Aesthetic Strategy
청각적(소리),청각적,auditory,소리,sound,Aesthetic Strategy
다중감각(청각적),다중감각,multisensory,청각적,auditory,Aesthetic Strategy
과정기반,과정기반,Process-based,,,Aesthetic Strategy
생물학적 형태미,생물학적 형태미,Biological morphology,,,Aesthetic Strategy
변화와 성장,변화와 성장,Change and growth,,,Aesthetic Strategy
패턴과 질감,패턴과 질감,Patterns and textures,,,Aesthetic Strategy
야생성,야생성,Wildness,,,Aesthetic Strategy
기괴함,기괴함,bizarre,,,Aesthetic Strategy
경계의 모호함,경계의 모호함,Ambiguity of boundaries,,,Aesthetic Strategy
언캐니,언캐니,Uncanny,,,Aesthetic Strategy
혐오,혐오,aversion,,,Aesthetic Strategy
그로테스크,그로테스크,grotesque,,,Aesthetic Strategy
기능적 미학,기능적 미학,Functional aesthetics,,,Aesthetic Strategy
인내의 스펙터클,인내의 스펙터클,Spectacle of Patience,,,Aesthetic Strategy
스펙터클,스펙터클,spectacle,,,Aesthetic Strategy
소멸과 부패,소멸과 부패,Extinction and decay,,,Aesthetic Strategy
숭고,숭고,Sublime,,,Aesthetic Strategy
후각적(냄새),후각적,Olfactory,냄새,smell,Aesthetic Strategy
상징적 하이브리드,상징적 하이브리드,symbolic hybrid,,,Aesthetic Strategy
내장적 경험,내장적 경험,Visceral experience,,,Aesthetic Strategy
바로크적 과잉,바로크적 과잉,Baroque excess,,,Aesthetic Strategy
역사적 질감,역사적 질감,historical texture,,,Aesthetic Strategy
공예적 미학,공예적 미학,Craft aesthetics,,,Aesthetic Strategy
시간성,시간성,Temporality,,,Aesthetic Strategy
연약함의 미학,연약함의 미학,The aesthetics of vulnerability,,,Aesthetic Strategy
창발,창발,Creation,,,Aesthetic Strategy
비-효율성의 미학,비-효율성의 미학,The aesthetics of inefficiency,,,Aesthetic Strategy
혐오의전복,혐오의전복,Subversion of the abject,,,Aesthetic Strategy
관계미학,관계미학,Relational aesthetics,,,Aesthetic Strategy
시각중심,시각중심,visual center,,,Aesthetic Strategy
다중감각(미각),다중감각,multisensory,미각,taste,Aesthetic Strategy
유머러스함,유머러스함,humor,,,Aesthetic Strategy
아이디어 중심,아이디어 중심,idea-centered,,,Aesthetic Strategy
다수성의 미학,다수성의 미학,Aesthetics of plurality,,,Aesthetic Strategy
비물질성,비물질성,immateriality,,,Aesthetic Strategy
데이터 경주,데이터 경주,Data Race,,,Aesthetic Strategy
다중감각,다중감각,multisensory,,,Aesthetic Strategy
다중감각(후각),다중감각,multisensory,후각,smell,Aesthetic Strategy
후각적,후각적,Olfactory,,,Aesthetic Strategy
시적,시적,poetic,,,Aesthetic Strategy
미니멀리즘,미니멀리즘,minimalism,,,Aesthetic Strategy
실험실미학,실험실미학,Laboratory Aesthetics,,,Aesthetic Strategy
데이터 기반,데이터 기반,data-driven,,,Aesthetic Strategy
아카이브 미학,아카이브 미학,Archive Aesthetics,,,Aesthetic Strategy
임상적,임상적,Clinical,,,Aesthetic Strategy
불안을유발하는,불안을 유발하는,anxiety-inducing,,,Aesthetic Strategy
내장감각적,내장 감각적,Visceral sensory,,,Aesthetic Strategy
도발적,도발적,provocative,,,Aesthetic Strategy
요리의형태,요리의 형태,Type of cooking,,,Aesthetic Strategy
상호작용적,상호작용적,interactive,,,Aesthetic Strategy
청각적,청각적,auditory,,,Aesthetic Strategy
역동적,역동적,dynamic,,,Aesthetic Strategy
미니멀테크미학,미니멀 테크 미학,Minimal tech aesthetic,,,Aesthetic Strategy
몰입형,몰입형,Immersive,,,Aesthetic Strategy
비가시적,비가시적,Invisible,,,Aesthetic Strategy
정동적,정동적,Affective,,,Aesthetic Strategy
찰나적,찰나적,Momentary,,,Aesthetic Strategy
미니멀,미니멀,Minimal,,,Aesthetic Strategy
비물질적,비물질적,immaterial,,,Aesthetic Strategy
예측불가능성,예측불가능성,unpredictability,,,Aesthetic Strategy
프로세스 기반 미학,프로세스 기반 미학,Process-based aesthetics,,,Aesthetic Strategy
데이터 기반 미학,데이터 기반 미학,Data-driven aesthetics,,,Aesthetic Strategy
정보미학,정보미학,Information aesthetics,,,Aesthetic Strategy
상징주의,상징주의,symbolism,,,Aesthetic Strategy
관계적 미학,관계적 미학,Relational aesthetics,,,Aesthetic Strategy
프로세스 기반,프로세스 기반,Process-based,,,Aesthetic Strategy
토속적 미학,토속적 미학,indigenous aesthetics,,,Aesthetic Strategy
촉각적,촉각적,tactile,,,Aesthetic Strategy
가정적 오브제,가정적 오브제,domestic objects,,,Aesthetic Strategy
생물학적 드랙,생물학적 드랙,biological drag,,,Aesthetic Strategy
세포적(외부),세포적,Cellular,외부,external,Aesthetic Strategy
미생물학적,미생물학적,Microbiological,,,Aesthetic Strategy
데이터적,데이터적,Data-based,,,Aesthetic Strategy
유전적(정보),유전적,genetic,정보,information,Aesthetic Strategy
생태학적,생태학적,ecological,,,Aesthetic Strategy
가상적,가상적,virtual,,,Aesthetic Strategy
외과적(잠재),외과적,Surgical,잠재,Potential,Aesthetic Strategy
사회비판,사회비판,social criticism,,,Epistemic Function
지식생산,지식생산,knowledge production,,,Epistemic Function
미래제안,미래제안,Future proposal,,,Epistemic Function
권력관계폭로,권력 관계 폭로,Exposing power relations,,,Epistemic Function
도발과 논쟁,도발과 논쟁,Provocation and controversy,,,Epistemic Function
인식론적 사물,인식론적 사물,epistemological things,,,Epistemic Function
과학소통,과학소통,Science Communication,,,Epistemic Function
예술기반연구,예술기반연구,Arts-based research,,,Epistemic Function
사회비판(상업주의),사회비판,social criticism,상업주의,commercialism,Epistemic Function
실험으로서의 예술,실험으로서의 예술,Art as Experiment,,,Epistemic Function
지식생산(신체경험),지식생산,knowledge production,신체경험,physical experience,Epistemic Function
사변적 디자인,사변적 디자인,Speculative design,,,Epistemic Function
과학적 경계 해체,과학적 경계 해체,Dismantling scientific boundaries,,,Epistemic Function
신체 한계의 경험적 탐구,신체 한계의 경험적 탐구,An empirical exploration of bodily limits,,,Epistemic Function
윤리적 질문 제기,윤리적 질문 제기,Raising ethical questions,,,Epistemic Function
제도비판,제도비판,institutional criticism,,,Epistemic Function
월드빌딩,월드빌딩,World Building,,,Epistemic Function
정치적 논평,정치적 논평,political commentary,,,Epistemic Function
종개념의 재정의,종개념의 재정의,Redefining the concept of species,,,Epistemic Function
대체육의 문화적 의미 탐구,대체육의 문화적 의미 탐구,Exploring the Cultural Meaning of Alternative Meat,,,Epistemic Function
